TimePoint,NO,NO2,NOx,SO2,CO,O3,PM10,PM2.5,BC,Visibility,WindD,WindS,Temperature,Humidity,Pressure
2013-01-02 00:00:00,1.37,13.69,15.13,15.05,1.39,5.98,71.5,30.73,3.252,10.12,50.35,0.95,-4.43,43.84,1022.9
2013-01-02 01:00:00,1.15,11.43,12.61,14.16,1.36,8.27,70.72,32.61,3.242,10.91,42.72,1.09,-5.12,41.96,1023.53
2013-01-02 02:00:00,1.26,13.5,14.85,15.34,1.4,5.6,64.76,29.08,3.085,11.1,35.68,0.67,-5.57,40.19,1024.38
2013-01-02 03:00:00,1.19,14.45,15.7,17.47,1.31,5.1,55.61,25.79,2.679,11.48,31.87,0.87,-5.87,36.87,1025.28
2013-01-02 04:00:00,1.15,12.46,13.63,16.02,1.28,7.39,50.29,19.69,2.435,12.26,33.51,1.39,-6.18,34.6,1025.65
2013-01-02 05:00:00,1.33,13.31,14.73,16.98,1.25,6.74,48.1,20.26,2.455,12.71,29.38,1.91,-6.49,34.12,1026.16
2013-01-02 06:00:00,1.38,12.62,14.08,15.87,1.31,6.78,60.66,32.76,3.093,12.1,27.67,1.98,-6.9,35.66,1026.81
2013-01-02 07:00:00,2.29,12.49,14.87,17.38,1.38,6.65,55.74,21.35,2.913,12.35,30.63,1.88,-7.35,35.77,1027.94
2013-01-02 08:00:00,3.69,11.71,15.53,20.03,1.42,8.7,65.12,24.26,3.682,11.67,40.34,1.57,-7.35,34.82,1029.35
2013-01-02 09:00:00,3.86,9.31,13.26,16.06,1.24,14.63,54.47,22.94,2.908,13.41,76.35,0.89,-6.59,29.3,1030.88
2013-01-02 10:00:00,4.23,8.33,12.65,15.27,1.23,15.99,50.92,19.98,2.828,13.67,91.66,0.73,-5.93,29.03,1031.52
2013-01-02 11:00:00,3.73,6.97,10.69,11.56,1.17,18.51,42.52,14.06,2.12,15.06,100.5,0.65,-5.23,27.27,1031.6
2013-01-02 12:00:00,3.23,6.42,9.64,11.76,1.17,20.01,43.38,14.56,2.213,14.74,101.47,0.66,-4.53,26.28,1030.66
2013-01-02 13:00:00,4.21,8.67,12.97,20.44,1.16,18.01,44.97,15.87,2.131,14.49,117.28,0.52,-3.54,24.9,1030.3
2013-01-02 14:00:00,3.89,9.6,13.59,18.71,1.22,17.15,61.0,21.69,2.415,13.76,91.96,0.84,-3.33,25.34,1030.41
2013-01-02 15:00:00,4.11,13.5,17.7,25.82,1.33,12.63,71.29,25.85,2.999,12.66,86.45,0.76,-3.54,26.0,1031.19
2013-01-02 16:00:00,2.96,15.23,18.28,24.95,1.37,10.51,73.85,30.16,3.527,11.44,79.38,0.27,-3.85,27.96,1031.96
2013-01-02 17:00:00,5.01,20.8,25.93,23.97,1.5,3.89,95.9,39.53,4.813,9.15,74.92,0.16,-4.12,28.98,1032.87
2013-01-02 18:00:00,12.21,25.97,38.31,28.5,1.78,,138.31,47.09,7.301,7.46,73.21,0.14,-4.24,30.19,1034.02
2013-01-02 19:00:00,2.56,16.86,19.51,26.67,1.53,8.31,92.85,38.97,5.081,9.09,86.33,0.32,-4.33,28.6,1034.8
2013-01-02 20:00:00,2.95,20.55,23.62,33.49,1.82,3.82,110.0,52.8,6.83,7.13,89.88,0.32,-4.28,29.87,1035.42
2013-01-02 21:00:00,3.97,22.5,26.6,41.51,1.91,1.46,111.85,51.89,7.166,7.31,61.82,0.45,-4.32,30.4,1035.9
2013-01-02 22:00:00,19.97,27.53,47.72,41.58,1.75,,94.49,42.74,4.608,8.5,35.27,0.68,-4.23,29.02,1035.89
2013-01-02 23:00:00,16.62,27.35,44.12,44.23,1.67,,102.73,47.0,5.487,7.99,33.54,0.64,-4.48,29.68,1035.77
2013-01-03 00:00:00,29.46,25.74,55.42,47.8,2.4,,146.91,72.53,8.125,5.13,3.71,0.2,-5.46,36.08,1035.95
2013-01-03 01:00:00,51.12,23.03,74.5,38.24,3.26,,253.51,139.78,11.175,3.15,22.08,0.32,-6.8,47.65,1036.47
2013-01-03 02:00:00,28.72,24.67,53.58,57.69,2.59,,137.06,74.39,9.252,4.91,29.44,0.74,-6.34,35.58,1036.68
2013-01-03 03:00:00,35.42,25.61,61.2,56.73,2.22,,93.38,51.82,7.309,6.33,19.03,1.37,-6.28,28.83,1036.4
2013-01-03 04:00:00,28.93,24.75,53.89,79.7,2.35,,104.11,56.46,6.892,6.06,359.05,2.02,-6.56,30.44,1036.09
2013-01-03 05:00:00,26.84,24.37,51.48,90.65,2.33,,106.94,57.35,6.5,6.43,2.1,1.55,-6.83,29.63,1035.85
2013-01-03 06:00:00,21.93,24.06,46.22,79.74,2.18,,97.71,56.26,6.907,6.72,11.4,0.73,-6.72,28.43,1035.81
2013-01-03 07:00:00,34.77,24.3,59.34,54.49,2.23,,132.49,62.49,8.02,5.58,32.76,0.33,-6.59,29.58,1036.08
2013-01-03 08:00:00,99.41,25.66,125.58,68.54,4.07,,309.65,127.28,12.696,2.85,328.66,0.18,-7.27,42.98,1036.36
2013-01-03 09:00:00,55.49,23.81,79.65,55.45,2.91,2.18,227.7,99.74,11.961,5.15,100.61,0.39,-5.04,30.83,1036.73
2013-01-03 10:00:00,8.74,14.53,23.42,31.65,1.43,9.48,78.35,24.66,5.829,9.37,112.32,0.66,-4.12,22.54,1036.6
2013-01-03 11:00:00,12.42,17.1,29.69,53.26,1.53,8.44,112.27,38.23,4.749,8.34,115.95,0.4,-2.82,22.6,1035.88
2013-01-03 12:00:00,11.7,17.81,29.74,61.52,1.74,8.88,114.31,53.32,5.008,7.24,190.49,0.37,-2.3,24.02,1034.64
2013-01-03 13:00:00,11.65,19.49,31.35,63.38,1.86,7.95,113.37,53.7,5.067,7.29,217.39,0.25,-1.64,23.67,1033.28
2013-01-03 14:00:00,10.4,20.89,31.5,52.97,2.0,7.21,127.57,61.79,5.272,6.73,210.55,0.24,-1.46,23.58,1032.57
2013-01-03 15:00:00,8.4,22.16,30.71,46.46,2.04,6.44,130.36,60.03,5.253,6.55,161.54,0.31,-1.66,24.57,1032.23
2013-01-03 16:00:00,12.45,26.99,39.58,43.39,2.16,1.52,165.58,71.19,6.404,5.59,232.5,0.43,-2.49,28.04,1032.02
2013-01-03 17:00:00,24.02,30.46,54.66,50.4,2.72,,228.52,108.13,9.887,3.77,251.8,0.28,-3.59,34.68,1032.14
2013-01-03 18:00:00,48.4,30.87,79.58,56.82,2.81,,259.05,109.91,11.549,3.51,133.34,0.08,-4.21,35.85,1032.29
2013-01-03 19:00:00,43.39,30.1,73.8,72.97,3.04,,232.59,110.59,12.101,3.3,79.04,0.07,-4.42,34.63,1032.03
2013-01-03 20:00:00,76.5,30.37,107.4,58.37,3.11,,288.04,113.41,12.596,2.9,289.04,0.04,-4.7,36.52,1032.05
2013-01-03 21:00:00,38.38,27.23,65.88,53.93,3.13,,210.0,99.65,10.943,2.99,281.23,0.26,-5.47,37.61,1031.74
2013-01-03 22:00:00,16.6,26.05,42.8,75.03,2.89,,172.58,102.32,10.065,3.06,267.43,0.36,-5.7,36.81,1031.33
2013-01-03 23:00:00,31.14,26.94,58.27,60.84,2.94,,199.68,98.51,10.8,2.96,273.81,0.35,-5.7,37.67,1030.72
2013-01-04 00:00:00,33.51,27.46,61.19,58.45,3.29,1.61,203.68,112.9,11.559,2.55,303.72,0.55,-6.0,39.86,1030.17
2013-01-04 01:00:00,52.29,26.23,78.93,52.28,3.84,1.94,264.48,138.38,12.597,1.99,331.0,0.41,-6.95,47.64,1029.74
2013-01-04 02:00:00,66.53,24.54,91.52,52.74,4.62,3.1,328.46,166.32,13.709,1.6,348.85,0.46,-7.63,52.17,1029.41
2013-01-04 03:00:00,63.45,23.66,87.57,53.71,5.23,3.34,333.79,177.45,14.117,1.48,339.2,0.52,-7.76,54.21,1028.82
2013-01-04 04:00:00,42.85,24.27,67.41,127.08,3.98,1.83,225.17,141.79,12.37,1.91,349.85,0.52,-7.97,50.77,1027.82
2013-01-04 05:00:00,41.47,24.03,65.77,99.2,3.67,2.25,228.71,137.81,11.982,1.93,354.8,0.58,-8.36,52.2,1027.23
2013-01-04 06:00:00,50.19,23.78,74.31,91.13,3.89,6.43,284.41,154.93,12.64,1.44,353.86,0.95,-8.91,56.41,1027.08
2013-01-04 07:00:00,55.85,23.37,79.6,75.07,4.39,7.59,265.62,157.55,13.159,1.29,345.05,0.65,-9.08,57.03,1026.81
2013-01-04 08:00:00,49.28,24.88,74.53,60.36,5.04,4.24,280.89,176.63,14.308,1.38,307.04,0.69,-8.59,58.8,1026.64
2013-01-04 09:00:00,54.13,27.93,82.5,76.9,5.85,,343.23,219.71,16.226,1.42,245.75,0.65,-7.14,58.55,1026.63
2013-01-04 10:00:00,33.43,27.24,60.91,63.97,4.37,,282.66,175.14,13.548,2.11,231.26,0.86,-5.08,53.67,1025.84
2013-01-04 11:00:00,16.27,21.73,38.24,51.86,2.82,2.97,206.12,110.68,10.593,3.57,227.71,1.15,-3.29,43.27,1024.35
2013-01-04 12:00:00,12.87,20.37,33.45,47.5,2.04,5.19,161.61,83.46,9.053,4.31,223.04,0.99,-1.95,38.24,1022.49
2013-01-04 13:00:00,12.1,20.37,32.68,52.13,1.8,5.75,142.39,68.42,8.465,4.93,212.31,0.83,-1.16,36.3,1021.17
2013-01-04 14:00:00,8.32,18.69,27.18,35.29,1.61,9.14,122.26,48.15,6.607,5.77,216.87,0.9,-0.01,31.98,1020.28
2013-01-04 15:00:00,5.91,18.02,24.1,31.01,1.55,9.04,129.99,40.05,6.986,6.18,220.31,0.98,-0.33,31.34,1019.91
2013-01-04 16:00:00,8.07,23.36,31.56,34.18,1.74,3.45,122.82,46.34,7.625,5.9,227.51,0.74,-0.83,34.4,1019.85
2013-01-04 17:00:00,31.65,30.46,62.32,41.97,2.24,,218.45,79.8,10.22,4.02,224.96,0.17,-1.69,37.54,1019.98
2013-01-04 18:00:00,36.27,29.63,66.13,49.57,2.5,,217.95,79.72,10.883,3.77,92.9,0.16,-2.64,40.1,1020.05
2013-01-04 19:00:00,26.08,28.15,54.39,62.87,2.75,,209.44,101.48,13.494,3.31,85.13,0.23,-3.47,43.41,1020.15
2013-01-04 20:00:00,27.13,27.32,54.64,63.94,2.91,,213.61,103.62,11.76,3.07,84.59,0.21,-4.24,47.0,1020.22
2013-01-04 21:00:00,31.81,27.19,59.2,60.55,2.96,,219.35,106.14,11.789,2.87,92.72,0.15,-4.56,47.4,1020.29
2013-01-04 22:00:00,33.13,25.83,59.18,48.75,2.79,,209.41,99.71,11.5,2.83,24.74,0.03,-4.96,48.85,1020.28
2013-01-04 23:00:00,21.53,24.26,45.98,46.09,2.85,,189.17,100.54,11.272,2.75,65.46,0.09,-5.34,50.84,1020.08
2013-01-05 00:00:00,37.31,23.74,61.31,45.65,3.15,,216.64,107.17,11.831,2.4,311.53,0.04,-5.61,53.08,1019.93
2013-01-05 01:00:00,42.23,22.84,65.35,38.34,3.18,,234.62,107.79,11.437,2.21,324.61,0.09,-5.75,53.94,1019.61
2013-01-05 02:00:00,43.39,21.97,65.63,35.71,3.23,,242.28,106.03,11.377,2.23,24.53,0.18,-6.3,55.26,1019.62
2013-01-05 03:00:00,47.67,21.4,69.42,42.6,4.26,,200.65,106.85,11.452,2.22,33.7,0.28,-6.7,57.53,1019.5
2013-01-05 04:00:00,69.22,22.23,91.95,43.21,4.45,,221.47,121.03,12.444,1.85,350.88,0.24,-6.95,59.92,1019.17
2013-01-05 05:00:00,54.04,21.17,75.62,41.43,4.27,,221.69,118.51,12.301,1.86,3.15,0.26,-7.19,61.38,1019.1
2013-01-05 06:00:00,93.95,23.52,118.0,48.81,4.92,,276.75,129.61,13.866,1.67,346.0,0.23,-7.42,64.88,1019.34
2013-01-05 07:00:00,102.79,25.31,128.64,102.85,5.64,,323.17,159.03,15.286,1.57,300.28,0.26,-7.35,64.41,1019.56
2013-01-05 08:00:00,107.44,25.33,133.3,57.26,5.7,,399.22,198.42,17.334,1.32,274.68,0.23,-6.61,63.19,1020.27
2013-01-05 09:00:00,138.73,32.65,171.9,83.21,7.25,,509.51,266.01,19.881,1.16,131.48,0.07,-4.79,60.19,1021.04
2013-01-05 10:00:00,100.96,39.14,140.48,125.61,6.77,,524.64,281.29,19.071,1.32,96.6,0.41,-3.25,55.01,1021.17
2013-01-05 11:00:00,152.13,55.49,207.93,189.56,6.48,,525.7,289.37,18.068,1.56,102.29,0.48,-0.96,44.93,1020.78
2013-01-05 12:00:00,127.07,56.49,184.14,199.99,5.66,,425.31,237.42,14.291,2.06,162.23,0.17,0.89,37.32,1020.17
2013-01-05 13:00:00,89.65,48.55,138.56,190.21,4.6,,312.17,169.3,12.023,2.54,105.5,0.8,1.42,33.75,1018.77
2013-01-05 14:00:00,51.01,42.95,94.26,144.2,4.27,,271.98,151.25,11.724,2.66,113.05,0.67,1.48,31.55,1018.31
2013-01-05 15:00:00,35.25,40.28,75.79,132.51,3.99,,252.36,134.62,11.173,2.8,100.52,0.5,1.6,30.8,1018.54
2013-01-05 16:00:00,25.72,39.45,65.31,110.51,3.65,,238.27,119.85,11.049,2.92,109.03,0.36,1.17,30.71,1019.11
2013-01-05 17:00:00,69.16,41.1,110.54,108.4,4.04,,340.78,144.85,13.43,2.38,227.75,0.01,0.75,33.68,1019.61
2013-01-05 18:00:00,61.45,41.73,103.53,108.88,4.12,,318.0,168.3,14.474,2.24,19.5,0.01,0.7,34.83,1019.9
2013-01-05 19:00:00,171.2,46.36,217.84,103.37,4.76,,483.77,197.25,18.205,1.7,214.97,0.02,0.05,38.57,1020.28
2013-01-05 20:00:00,187.12,45.1,232.56,140.92,7.46,,592.36,287.45,20.202,1.15,157.1,0.04,-0.49,44.53,1020.9
2013-01-05 21:00:00,221.33,46.75,268.21,131.72,7.96,,733.01,295.46,21.479,1.07,249.54,0.02,-0.75,47.63,1020.97
2013-01-05 22:00:00,247.98,46.48,294.55,140.51,8.0,,745.05,299.23,21.157,1.01,128.43,0.06,-1.37,48.7,1020.99
2013-01-05 23:00:00,177.77,39.91,218.01,145.36,9.38,,694.79,304.51,20.714,0.91,229.03,0.11,-2.53,53.55,1021.31
2013-01-06 00:00:00,128.19,35.16,163.86,108.94,7.93,,480.47,260.46,18.955,1.03,57.16,0.1,-2.44,53.47,1021.08
2013-01-06 01:00:00,176.65,40.64,217.65,119.5,9.09,,554.87,281.37,20.097,0.92,76.79,0.11,-2.68,53.67,1020.79
2013-01-06 02:00:00,142.09,42.32,184.86,146.4,8.08,,402.32,222.91,18.334,1.31,25.25,0.38,-2.7,50.69,1020.5
2013-01-06 03:00:00,89.01,35.67,125.16,140.39,7.49,,341.52,200.17,17.101,1.48,12.94,0.7,-3.4,50.62,1020.28
2013-01-06 04:00:00,67.04,36.67,104.12,145.16,6.1,,347.05,187.7,16.187,1.57,10.93,0.84,-3.87,50.02,1020.06
2013-01-06 05:00:00,75.21,37.92,113.66,172.71,6.38,,353.08,207.47,16.564,1.52,11.21,0.68,-4.06,49.37,1020.2
2013-01-06 06:00:00,87.04,38.91,126.47,186.72,6.26,,353.64,211.83,16.316,1.55,25.79,0.27,-4.07,49.12,1020.48
2013-01-06 07:00:00,144.66,39.65,184.79,132.39,7.3,,473.23,230.69,18.369,1.14,263.24,0.12,-4.86,55.97,1020.52
2013-01-06 08:00:00,160.89,38.57,199.83,139.62,9.01,,541.68,279.25,20.741,0.93,244.7,0.14,-5.16,60.98,1021.31
2013-01-06 09:00:00,157.78,44.28,202.32,156.81,9.29,,648.48,342.39,22.433,0.89,106.01,0.25,-3.32,56.01,1021.47
2013-01-06 10:00:00,141.01,48.75,190.06,162.03,8.12,,565.76,332.9,23.319,1.06,107.58,0.22,-1.68,50.18,1021.41
2013-01-06 11:00:00,66.38,43.42,110.1,135.8,5.11,,354.19,201.99,16.74,1.67,114.43,0.45,-0.31,41.41,1020.28
2013-01-06 12:00:00,40.62,41.16,82.04,110.31,4.39,,283.71,168.96,14.582,1.84,119.32,0.5,0.57,39.94,1018.87
2013-01-06 13:00:00,24.46,38.73,63.33,92.61,3.6,,,,13.254,2.01,111.64,0.61,1.33,38.19,1017.4
2013-01-06 14:00:00,22.72,40.77,63.59,90.74,3.23,,,,12.95,2.0,188.73,0.45,2.03,36.36,1016.78
2013-01-06 15:00:00,28.39,46.27,74.79,101.98,3.78,,,,8.853,1.77,214.33,0.35,1.82,37.43,1016.63
2013-01-06 16:00:00,53.96,47.74,101.93,103.29,4.12,,,,15.979,1.6,224.22,0.13,1.55,39.93,1016.64
2013-01-06 17:00:00,81.18,48.29,129.78,114.39,4.88,,,,18.058,1.45,261.01,0.01,1.12,41.99,1016.64
2013-01-06 18:00:00,84.05,48.41,132.82,120.96,5.32,,,382.08,19.606,1.27,264.69,0.3,0.32,45.7,1017.24
2013-01-06 19:00:00,56.7,48.16,105.1,109.81,4.83,,,360.6,18.625,1.28,253.84,0.19,0.53,45.76,1017.44
2013-01-06 20:00:00,67.53,48.25,116.03,99.42,4.92,,,354.41,18.534,1.2,252.97,0.04,0.81,46.25,1017.69
2013-01-06 21:00:00,151.95,51.52,203.82,112.44,5.92,,,404.73,21.58,1.01,154.31,0.04,0.34,48.76,1017.47
2013-01-06 22:00:00,189.45,51.9,241.6,148.25,8.25,,,479.42,23.472,0.81,199.17,0.08,-0.27,52.32,1017.14
2013-01-06 23:00:00,118.66,47.28,166.18,131.82,7.63,,,429.17,21.858,0.92,101.77,0.04,-0.33,52.21,1016.34
2013-01-07 00:00:00,69.0,42.05,111.32,93.51,6.35,,,380.48,19.678,0.92,224.19,0.21,-0.87,54.78,1015.74
2013-01-07 01:00:00,36.83,35.22,72.3,72.01,5.47,,,335.58,17.847,0.97,246.89,0.66,-1.13,56.24,1015.51
2013-01-07 02:00:00,34.45,32.39,67.01,54.93,4.72,,,283.61,16.845,1.09,244.9,0.07,-1.06,56.66,1015.5
2013-01-07 03:00:00,39.4,31.2,70.84,48.32,4.32,,,262.38,16.811,1.16,118.36,0.11,-1.23,58.32,1015.39
2013-01-07 04:00:00,22.61,28.7,51.46,46.44,3.92,,,231.61,15.199,1.37,57.55,0.26,-1.14,58.92,1014.97
2013-01-07 05:00:00,64.92,37.58,102.88,103.32,6.57,,,341.79,19.596,0.99,48.8,0.8,-1.53,60.03,1014.73
2013-01-07 06:00:00,88.66,38.73,127.78,106.18,7.4,,,410.89,21.534,0.82,46.38,0.64,-2.12,62.6,1015.32
2013-01-07 07:00:00,113.09,41.46,155.02,134.41,6.73,,,431.25,22.935,0.81,26.51,0.74,-2.66,61.34,1015.92
2013-01-07 08:00:00,122.56,44.23,167.27,180.48,6.71,,,444.51,23.148,0.82,356.23,1.13,-2.64,59.78,1016.65
2013-01-07 09:00:00,89.63,44.8,134.71,188.65,6.01,,,428.64,22.144,0.91,5.16,1.03,-2.39,55.56,1016.96
2013-01-07 10:00:00,84.46,46.38,131.13,178.44,6.05,,,416.57,20.993,0.94,34.93,0.62,-1.41,52.62,1016.75
2013-01-07 11:00:00,111.54,52.19,164.23,187.26,6.84,,,432.76,22.206,0.82,65.15,0.66,-0.62,51.64,1015.99
2013-01-07 12:00:00,93.84,56.08,150.33,194.31,6.29,,,,22.302,0.83,62.05,0.47,0.42,47.74,1015.13
2013-01-07 13:00:00,94.03,59.53,154.02,178.91,6.66,,,594.96,23.464,0.65,111.84,0.4,0.95,48.36,1014.4
2013-01-07 14:00:00,103.94,63.11,167.64,157.19,6.17,,,605.22,23.693,0.62,128.01,0.24,1.52,48.0,1013.99
2013-01-07 15:00:00,106.17,63.68,170.43,121.27,5.86,,,608.11,23.45,0.6,150.92,0.16,1.44,50.02,1013.94
2013-01-07 16:00:00,79.66,58.58,138.55,103.87,5.63,,,554.21,23.001,0.62,59.81,0.09,0.91,52.64,1014.44
2013-01-07 17:00:00,80.08,56.94,137.32,100.88,6.2,,,566.58,24.07,0.59,114.97,0.03,0.51,54.84,1014.98
2013-01-07 18:00:00,96.66,54.92,151.99,104.04,6.95,,,582.06,25.659,0.56,86.72,0.05,0.3,57.41,1015.75
2013-01-07 19:00:00,164.41,56.64,221.4,102.4,7.67,,,612.29,27.046,0.51,246.58,0.04,-0.21,60.43,1016.41
2013-01-07 20:00:00,203.86,62.47,266.7,102.87,7.48,,,626.13,28.211,0.49,273.46,0.12,-0.48,62.35,1016.8
2013-01-07 21:00:00,202.23,62.3,264.83,111.52,7.79,,,641.26,28.134,0.45,297.84,0.02,-0.6,63.13,1017.07
2013-01-07 22:00:00,150.92,57.96,209.25,145.14,8.16,,,682.97,27.47,0.42,46.67,0.1,-0.6,62.21,1017.55
2013-01-07 23:00:00,84.33,53.64,138.29,154.91,7.21,,,664.54,26.033,0.46,43.54,0.42,-0.99,61.96,1018.02
2013-01-08 00:00:00,90.79,50.49,141.61,137.11,7.35,,,617.46,24.714,0.45,54.72,0.3,-1.29,61.04,1018.14
2013-01-08 01:00:00,197.99,51.17,249.39,108.23,9.71,,,725.31,26.915,0.32,95.64,0.14,-2.96,69.46,1018.11
2013-01-08 02:00:00,102.99,51.9,155.35,174.17,7.49,,,594.43,25.362,0.49,42.65,0.65,-2.32,63.31,1018.14
2013-01-08 03:00:00,92.29,51.65,144.24,188.39,7.81,,,577.24,24.408,0.48,7.57,0.67,-2.72,64.79,1018.22
2013-01-08 04:00:00,85.91,51.29,137.41,166.27,7.05,,,533.32,23.48,0.49,2.46,0.94,-3.07,66.49,1017.89
2013-01-08 05:00:00,58.09,50.15,108.48,163.74,6.77,,,503.31,22.496,0.55,11.59,0.83,-3.16,65.2,1018.12
2013-01-08 06:00:00,54.61,49.96,104.79,183.36,7.08,,,490.25,22.383,0.54,17.0,0.74,-3.24,65.87,1018.87
2013-01-08 07:00:00,61.85,51.11,113.25,198.7,7.19,,,406.31,19.167,0.55,0.85,0.81,-3.14,65.66,1019.66
2013-01-08 08:00:00,72.97,51.54,124.79,181.64,7.04,,,,17.13,0.61,33.86,0.8,-2.75,62.77,1021.08
2013-01-08 09:00:00,94.3,52.23,146.84,179.72,6.27,,691.67,499.21,21.339,0.59,44.92,1.12,-2.41,60.82,1022.17
2013-01-08 10:00:00,59.16,51.07,110.5,168.6,6.13,,736.66,510.76,21.825,0.57,40.89,1.03,-2.11,59.28,1022.44
2013-01-08 11:00:00,68.61,53.43,122.31,147.83,5.74,,719.72,491.19,21.609,0.6,41.65,1.12,-1.61,56.75,1021.71
2013-01-08 12:00:00,70.94,56.28,127.41,138.08,5.47,,689.89,482.61,21.022,0.63,38.89,0.96,-0.71,52.02,1020.84
2013-01-08 13:00:00,63.01,54.81,118.15,139.15,5.27,,690.57,479.92,20.301,0.67,46.09,1.24,-0.01,49.94,1019.86
2013-01-08 14:00:00,60.77,55.58,116.62,109.68,5.11,,688.65,481.39,19.929,0.67,52.46,1.23,0.48,52.22,1019.11
2013-01-08 15:00:00,56.96,55.86,113.14,104.95,5.06,,670.56,471.36,19.603,0.67,46.94,1.04,0.44,53.49,1019.65
2013-01-08 16:00:00,49.16,56.39,105.83,104.96,5.46,,658.02,470.14,20.169,0.68,50.91,0.94,0.04,54.8,1020.49
2013-01-08 17:00:00,41.86,55.53,97.66,97.33,5.51,,590.81,415.95,19.738,0.75,46.62,0.75,-0.3,55.5,1021.49
2013-01-08 18:00:00,61.43,57.87,119.56,106.91,5.81,,584.96,411.08,20.136,0.75,41.25,1.18,-1.01,57.33,1022.3
2013-01-08 19:00:00,81.38,58.64,140.3,107.2,5.94,,284.78,199.89,19.52,0.74,39.11,1.32,-1.59,61.88,1022.57
2013-01-08 20:00:00,95.91,56.93,153.25,115.09,5.96,,,,19.178,0.78,29.49,1.23,-1.93,63.28,1023.03
2013-01-08 21:00:00,70.9,51.94,123.13,116.67,5.97,,430.28,278.33,18.466,0.83,24.73,1.36,-2.25,63.24,1023.75
2013-01-08 22:00:00,71.37,46.51,118.21,104.14,5.39,,437.69,284.46,17.658,0.86,38.22,1.4,-2.95,68.48,1024.3
2013-01-08 23:00:00,60.72,38.4,99.45,69.52,4.27,,316.95,220.58,15.214,0.91,41.4,1.29,-3.57,79.34,1025.04
